"","X","X_id","标题","标题链接","居室数","厅堂数","卫生间数","总面积","朝向","楼层位置","建造年份","小区","区","街道","地址","关键词","价格","单价","关键字1","关键字2","关键字3","关键字4","装修","字段12","详情1","详情2","详情3","详情4","详情5","产权性质","物业类型","产权年限","房本年限","参考预算","小区均价","小区户数","物业费用","绿化率","小区解读1","小区解读2","小区解读3","小区解读4","小区解读5","小区解读6","代理情况","代理情况2","安选"
"27","26","666d2148dacf8deaac141280","罕有中心位置大花园，送充电桩车位，视野无遮挡，房东急售","https://shanghai.anjuke.com/prop/view/S3052190505099273",3,2,1,"97.82㎡","南北","低层(共11层)","2007年建造","永泰花苑","浦东","三林","永泰路630弄","热门小区;南北通透;配套成熟",455,"46515元/㎡","热门小区","南北通透","配套成熟","","精装修","2007年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","绿化率高","商品房住宅","普通住宅","暂无","满五年","首付91万，月供16345元","61055元/㎡","3377户","1.1 元/平米/月","46.00%","轨道交通   小区门口就是公交车站，小区向北900米事11号线三林东站，可以转地铁6号，8号线","其他描述   小区到地铁11号线三林站200米门口有755路780路572路","小区设施   小区有花园，凉亭，花园900平左右，花园里设有运动器械，可供老人小孩玩耍","生活配套   出门三百米就是金谊广场，800米东方医院","房屋品质   由中房置业有限公司建造，05年统一交房，近马路一排装有双层玻璃，能有效的隔绝噪音","小区不足   动迁小区，租客较多，物业一般","4家门店、9位经纪人正代理本房","全部经纪人","实地核验"
"28","27","666d2149dacf8deaac141281","十四街坊 近8号线地铁站 精装修 拎包入住 好楼层 采光好","https://shanghai.anjuke.com/prop/view/S3550535243095053",3,2,2,"127㎡","南北","低层(共13层)","2009年建造","世博家园十四街坊","闵行","浦江","联航路2015弄","南北;热门小区;房东急售;随时可看",550,"43308元/㎡","南北","热门小区","房东急售","随时可看","精装修","2009年竣工/普通住宅
            ","满五年","有电梯","近地铁","","","商品房住宅","普通住宅","70年产权","满五年","首付110万，月供19758元","47785元/㎡","694户","1.3 元/平米/月","35.00%","轨道交通   小区旁边有500米的8号江月路地铁站,走路还是可以接受的,只需要出小区左转沿着江月路就是很方便的","小区户型   小区的多层是一梯两户，都是95平左右的南北通透的房，小高层是1梯3户，3房面积125平左右","小区设施   小区设有休闲花园、健身器材和凉亭供居民散步休憩，地上地下都有停车位，车位比1:1，停车很方便","生活配套   小区500米是普蜂莲花超市和城市生活广场(吃穿玩购物一体)450米是沃尔玛超市350米是八仙菜市场","小区不足   年限较长，房屋外面比较旧一点","","5家门店、15位经纪人正代理本房","全部经纪人","实地核验"
"29","28","666d2149dacf8deaac141282","单身 社保三年 首付两层 精装修交付 近地铁 杨行大卖小区","https://shanghai.anjuke.com/prop/view/S3227671390184457",3,2,2,"101㎡","南","","","四季都会·青藤里","宝山","月浦","杨北路99弄","客餐厅相连;主卧套房;南北通透;轨交房",445,"44060元/㎡","客餐厅相连","主卧套房","南北通透","轨交房","毛坯","暂无建造年代/普通住宅
            ","","","","","","暂无","普通住宅","70年产权","","首付133万，月供15052元","53194元/㎡","暂无","暂无","35.00%","","","","","","","查看全部经纪人","全部经纪人","认证新房"
"30","29","666d214adacf8deaac141283","商圈成熟 居住密度低 满五   医疗配套成熟 商品房 近地铁","https://shanghai.anjuke.com/prop/view/S3556736766174215",6,4,3,"500㎡","南","共3层","1998年建造","虹梅别墅","闵行","虹桥","虹梅路2989弄1-79号","南;满五年;近地铁;车位充足",5700,"114000元/㎡","南","满五年","近地铁","车位充足","简单装修","1998年竣工/别墅
            ","满五年","唯一住房","近地铁","车位充足","","商品房住宅","别墅","70年产权","满五年","首付1140万，月供204764元","188277元/㎡","68户","5.5 元/平米/月","43.00%","轨道交通   600米到延安西路71路无轨电车，1000米到10号线龙溪路站","小区户型   小区总共有68栋别墅，户型分别为233平，261平，288平，321平，360平等，花园300平左右","小区设施   小区带有室外泳池，健身房，会所车位配比达到1:2.绿化好","生活配套   500米有超市，400米有高尔夫球场，600米有星巴克，配套非常齐全","房屋品质   上海中祥集团有限公司开发建设，于1994年交房主体采用钢筋混凝土的框架结构，外立面有优良的防水防潮","小区不足   小区建造年代比较久，路窄，绿化也比较少","7家门店、11位经纪人正代理本房","全部经纪人","实地核验"
"31","30","666d214adacf8deaac141284","闵浦新苑四村 有电梯 精装修 低容积 购物方便 满五  ","https://shanghai.anjuke.com/prop/view/S3444579464438795",2,2,1,"92.81㎡","南北","低层(共11层)","2009年建造","闵浦新苑四村","闵行","浦江","江文路688弄","南北;热门小区",300,"32325元/㎡","南北","热门小区","","","精装修","2009年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","","动迁配套房","普通住宅","70年产权","满五年","首付60万，月供10777元","34651元/㎡","912户","1.06 元/平米/月","30.00%","轨道交通   直达地铁8号线。公交门口500米。地铁8号线沈杜公路1公里","小区户型   本小区一梯两户的，主力小两房约74平，大两房约93平，一房约58平、三房约112平左右，均是南北通透","小区设施   小区内设有地面停车位和地下停车位，车位充足，小区中心位置设有绿化，内有健身器材，平时可以锻炼身体。","生活配套   1公里内有大型商场， 餐厅，国美电器，超市有美惠全连锁、便利店、如海购物，欧润发等.门口就有社区医院","小区不足   在浦江镇周边这一块房龄不算新的,只能算次新房,小区品质为动迁安置房,质量没有商品房好。","","4家门店、7位经纪人正代理本房","全部经纪人","实地核验"
"32","31","666d214bdacf8deaac141286","送70平地下室 25平露台，产权车位，地铁旁，出门商场，诚售","https://shanghai.anjuke.com/prop/view/S3516535948092420",4,2,2,"150.03㎡","南北","共5层","2010年建造","金地未未来","浦东","外高桥","张杨北路2899弄","南北;满五年;近地铁;绿化率高",1150,"76652元/㎡","南北","满五年","近地铁","绿化率高","精装修","2010年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","绿化率高","商品房住宅","普通住宅","70年产权","满五年","首付230万，月供41312元","93674元/㎡","1820户","2.6 元/平米/月","45.00%","轨道交通   地铁小区北门就有1071路和外高桥3路公交公交","小区户型   小区房型54-65平一房，88平的2房和3房总楼层15楼，多层5楼的花园洋房和3栋复式楼","小区设施   篮球场、羽毛球球场、儿童亲子乐园，游乐设施一应俱全","生活配套   小区北门500米有阳光天地生活广场，森兰菜市场，社区医院，欧尚超市，招商农业银行等","房屋品质   房子由金地集团打造绿化率高","小区不足   停车位比较紧张，周边设施正在完善小区车位租金不高，也有在售车位","4家门店、6位经纪人正代理本房","全部经纪人","实地核验"
"33","32","666d214cdacf8deaac141288","大三房 双卫 带电梯 好楼层 南北通透 飞机户型 随时可看房","https://shanghai.anjuke.com/prop/view/S3457596174951430",3,2,2,"117.84㎡","南北","中层(共11层)","2014年建造","滨浦新苑七村","闵行","浦江","浦雪南路369弄","南北;满五年;多人关注",420,"35642元/㎡","南北","满五年","多人关注","","简单装修","2014年竣工/普通住宅
            ","满五年","有电梯","","","","动迁配套房","普通住宅","70年产权","满五年","首付84万，月供15088元","38767元/㎡","802户","1.3 元/平米/月","35.00%","轨道交通   小区出门1公里左右到联航路地铁站，小区门口有多路公交","小区户型   小区全部由电梯房组成，主力面积一房60平米，两房83平-—103平米，三房125平米，间距大，采光好","生活配套   五官科医院，仁济医院只有800米，火星生活广场600米，小区内有超市菜店，距离郊野公园近环境优美","小区不足   小区物业费有点高...","","","5家门店、16位经纪人正代理本房","全部经纪人","实地核验"
"34","33","666d214cdacf8deaac141289","50个急售！新装25萬全送，满五V一，带产权车位，价格好谈","https://shanghai.anjuke.com/prop/view/S3049559449328652",2,2,1,"88.07㎡","南","中层(共13层)","2017年建造","尼德兰花园(二期)","浦东","外高桥","张杨北路4555弄","南;满五年;近地铁;车位充足",500,"56774元/㎡","南","满五年","近地铁","车位充足","精装修","2017年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商品房住宅","普通住宅","70年产权","满五年","首付100万，月供17962元","57787元/㎡","888户","2.9 元/平米/月","35.00%","小区户型   全明户型小区由43栋高层电梯户型构成热门户型为100平两房楼距在100米","其他描述   物业费2.9元社区物业公司为上海同进物业","生活配套   【生活配套】小区距离第七医院1.5公里，过张杨北路100米就是商业街，购物，消费便利","房屋品质   小区是2017年交房，由央企开发商建造，房屋质量过硬","小区不足   小区车位相对较少车位晚高峰管理混乱有待改善小区绿化面积太少地上停车位不充足需要多多改善","","3家门店、6位经纪人正代理本房","全部经纪人","实地核验"
"35","34","666d214cdacf8deaac14128a","新上聚焦笋盘 已买诚售 精装赠送 双地铁线路 配套齐全 微聊","https://shanghai.anjuke.com/prop/view/S3485235361488910",2,1,1,"61.93㎡","南","高层(共6层)","1998年建造","金光小区","浦东","三林","上南路4265弄,上南路4271弄","南;近地铁;南北通透;随时可看",375,"60553元/㎡","南","近地铁","南北通透","随时可看","精装修","1998年竣工/普通住宅
            ","满二年","唯一住房","近地铁","","","商品房住宅","普通住宅","暂无","满二年","首付75万，月供13471元","70575元/㎡","1776户","0.35 元/平米/月","35.00%","轨道交通   6/11号线交汇，小区门口就是公交车1018路，六号线华夏西路1.0KM，距11号线三林站270米","小区户型   你好，很高兴为你服务小区主要以多层为主，小到42，大到99平，66平的双南户型","小区设施   小区内带一个超长的凉亭走廊，绿化挺好，均为多层6楼，","生活配套   出门500米是6号线上南路站、华夏西路站，门口就是11号线三林站，200米处就是金谊广场","房屋品质   中房集团开发，上钢物业管理，1997年的动迁房，公房总共143栋，1772户，都是总高6层的楼梯房","小区不足   小区没有地铁停车位，车位比较紧张，小区外观老旧","13家门店、38位经纪人正代理本房","全部经纪人","实地核验"
"36","35","666d214edacf8deaac14128b","少于市场价急抛 来电立少8W 产权清晰无碎费 民水民电通燃气","https://shanghai.anjuke.com/prop/view/S3297094424730633",1,1,1,"11㎡","南北","中层(共12层)","2016年建造","学前街88弄小区","浦东","外高桥","学前街88弄","南北;热门小区",50,"45455元/㎡","南北","热门小区","","","精装修","2016年竣工/公寓
            ","满五年","唯一住房","有电梯","近地铁","","商住两用","公寓","50年产权","满五年","首付25万，月供2472元","44500元/㎡","18户","0.86 元/平米/月","30.00%","小区户型   户型为76方的两居室房源。楼间距90米，视野好，采光佳，空气对流，带五米露台。","小区设施   小区中间位置有景观台，有小广场，可供业主活动","生活配套   小区步行800米是国美超市，购物方便","小区不足   小区车位相对较少，业主私家车很多，车位晚高峰管理混乱，有待改善","","","","全部经纪人","实地核验"
